Date,Open,High,Low,Close,Volume
2023-04-28,113.95,113.95,109.35,112.45,314800
2023-05-02,113.1,113.95,110.0,110.65,147629
2023-05-03,110.0,110.5,107.15,107.65,127063
2023-05-04,107.15,110.55,107.05,110.05,176330
2023-05-05,109.95,113.15,108.25,109.05,246184
2023-05-08,109.2,110.85,108.15,108.65,81600
2023-05-09,108.65,109.95,104.2,105.25,228855
2023-05-10,105.15,107.65,104.65,106.35,65199
2023-05-11,108.2,110.15,106.8,107.2,135564
2023-05-12,107.2,109.75,107.15,108.15,75568
2023-05-15,108.55,109.05,107.05,108.45,66904
2023-05-16,108.8,118.85,108.3,117.85,1122983
2023-05-17,119.55,123.2,118.45,121.65,923129
2023-05-18,122.3,123.55,115.6,117.0,381605
2023-05-19,117.85,120.85,113.8,118.55,345763
2023-05-22,119.05,122.65,116.2,117.55,314198
2023-05-23,117.55,121.1,116.8,120.4,183073
2023-05-24,120.0,120.8,116.65,116.85,163441
2023-05-25,117.15,118.35,114.6,115.35,170107
2023-05-26,115.35,119.55,108.9,109.65,1166330
2023-05-29,110.85,111.85,107.8,108.05,278945
2023-05-30,108.45,112.55,108.05,111.75,249789
2023-05-31,111.95,113.05,108.55,109.4,151372
2023-06-01,110.65,111.6,109.6,109.85,91768
2023-06-02,110.25,112.35,110.15,111.95,132376
2023-06-05,112.0,115.2,111.25,114.2,137085
2023-06-06,114.45,117.95,114.4,117.65,204659
2023-06-07,117.7,121.05,117.7,119.85,263868
2023-06-08,120.2,126.25,118.55,119.25,452626
2023-06-09,119.8,127.8,119.8,125.45,456200
2023-06-12,126.65,150.55,126.65,149.25,2615365
2023-06-13,151.15,151.95,142.45,143.65,1440553
2023-06-14,143.35,157.35,141.55,149.25,1208922
2023-06-15,149.55,151.4,145.65,148.35,327562
2023-06-16,148.65,150.65,145.8,146.9,125008
2023-06-19,147.15,148.6,142.35,143.45,146326
2023-06-20,143.35,165.85,142.2,162.45,1348635
2023-06-21,162.45,175.55,162.45,172.6,1088309
2023-06-22,173.25,182.85,171.6,176.4,1219864
2023-06-23,174.45,174.45,165.55,168.6,448495
2023-06-26,169.0,182.2,167.0,180.55,623811
2023-06-27,186.75,188.6,181.35,185.0,390327
2023-06-28,184.45,185.5,179.4,181.55,290468
2023-06-30,182.0,185.15,179.8,181.15,148978
2023-07-03,181.8,199.25,181.8,194.0,803609
2023-07-04,193.35,194.85,188.85,189.8,211280
2023-07-05,189.55,198.8,187.15,196.65,465871
2023-07-06,197.1,199.65,191.1,191.8,265448
2023-07-07,191.15,193.15,185.55,189.35,150078
2023-07-10,189.15,190.15,180.85,185.5,187951
2023-07-11,186.85,198.8,186.85,193.05,439647
2023-07-12,194.8,202.45,191.8,192.6,370212
2023-07-13,193.65,196.6,188.2,189.1,145018
2023-07-14,190.15,192.65,186.2,187.55,121729
2023-07-17,185.65,194.35,185.15,188.05,145980
2023-07-18,189.35,190.0,182.75,184.65,94589
2023-07-19,184.65,187.95,183.35,184.4,52838
2023-07-20,184.35,186.2,180.85,181.8,93188
2023-07-21,180.85,187.25,180.25,183.15,75789
2023-07-24,183.15,191.55,183.15,187.0,151658
2023-07-25,187.45,192.95,182.7,185.85,126402
2023-07-26,188.6,190.65,185.3,186.95,57203
2023-07-27,188.45,188.45,182.95,184.85,76881
2023-07-28,185.15,187.25,181.25,183.2,77089
2023-07-31,183.85,186.65,183.35,184.35,71010
2023-08-01,183.35,186.0,180.0,183.2,60518
2023-08-02,183.35,187.8,165.8,177.25,262612
2023-08-03,177.8,184.35,177.8,183.25,100116
2023-08-04,190.0,192.2,183.25,186.35,177437
2023-08-07,186.55,190.6,183.55,184.35,62823
2023-08-08,183.55,185.8,176.85,177.95,111442
2023-08-09,179.35,182.2,179.35,180.4,46375
2023-08-10,180.2,185.95,179.45,180.4,76216
2023-08-11,181.35,188.85,171.35,184.85,434544
2023-08-14,186.0,188.85,183.8,186.35,154967
2023-08-16,186.35,194.45,186.0,193.85,391512
2023-08-17,196.45,197.35,190.85,191.85,261040
2023-08-18,192.25,194.35,184.85,188.75,162785
2023-08-21,187.55,195.35,179.9,193.05,251600
2023-08-22,195.55,196.65,191.0,193.85,117207
2023-08-23,194.65,195.35,190.0,191.35,76502
2023-08-24,193.15,194.2,191.45,192.55,51827
2023-08-25,194.45,207.75,193.8,205.15,891752
2023-08-28,208.0,213.35,206.65,209.4,326691
2023-08-29,210.45,210.45,196.65,201.95,340295
2023-08-30,203.35,205.55,199.65,200.9,132753
2023-08-31,201.15,203.35,197.9,198.65,97516
2023-09-01,197.8,198.35,188.85,194.05,250980
2023-09-04,196.6,199.75,193.2,195.9,148986
2023-09-05,199.1,199.8,190.0,190.45,152373
2023-09-06,191.8,192.55,188.85,189.65,66922
2023-09-07,188.85,192.2,185.15,187.25,138424
2023-09-08,188.2,192.2,187.55,190.8,71529
